qid	rank	docid	score	title	query_5w	query_text
16	4	99	7.2978907	[maternal separation in the rhesus monkey .]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	5	35	6.870931	[the development of social attachments in infancy .]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	6	253	6.8427973	[radical operation for ventricular septal defect in infancy .]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	7	496	6.387109	[1808.]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	8	484	6.0104833	[5574.]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	9	486	5.8019595	[265.]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	10	1008	5.494104	[clinical study and histological study of the liver in hepatitis in infants.]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
17	1	128	7.662024	[nickel carbonyl.]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	2	38	6.72659	[studies of nickel carcinogenesis fractionations of nickel in ultracentrifugal supernatants of lung and liver by means of dextran gel chromatography .]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	3	41	6.683432	[measurements of nickel in biological materials by atomic absorption spectrometry .]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	4	133	6.531363	[chromium, lead, cadmium, nickel and titanium in mice.]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	5	131	6.040192	[a kinetic study of nickel(ii), complexes of sulfur-containing amino acid the rate expression for the ethylenediaminetetraacetic acid (edta) ligand exchange reaction with nickel(cysteine) is.]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	6	37	5.911325	[the production of malignant tumours by nickel in the rat .]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	7	341	4.142818	[4010.]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	8	342	4.0852327	[188.]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	9	129	3.8426988	[polarographic determination of heavy metals in air samples .]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
17	10	339	3.8159215	[670.]	nickel in nutrition requirements for	nickel in nutrition:  requirements for methods for analysis; relation with enzyme systems; toxicity of, in humans and laboratory animals; deficiency signs and symptoms; level in various foodstuffs; level in blood and tissues.
18	1	48	9.480021	[toxicity of sulfur-35, selenium, and tellurium to avian embryos .]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	2	528	9.133156	[2127.]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	3	134	8.253306	[synergistic effects between antioxidants and selenium or vitamin e .]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	4	49	7.3175154	[the effect of selenium on the upper respiratory passages .]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	5	45	6.886409	[selenium as a trace element .]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	6	51	6.640274	[selenium-caused tumours .]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	7	527	6.3002367	[843.]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	8	46	6.29322	[toxicity of inorganic selenium salts to chick embryos .]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	9	526	6.107826	[1172.]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
18	10	924	3.9331057	[the etiology of autistic syndromes of children.]	the toxicity of organic selenium	the toxicity of organic selenium compounds.
19	1	554	8.407351	[distribution and excretion of radioactivity after parenteral administration of radioactive polydiethylstilbestrol phosphate to rats and a cow.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	2	555	7.412468	[study of phosphate excretion by the stop-flow technique m.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	3	847	6.0181484	[localization of phosphaturic effect of parathyroid hormone in nephron of the dog the renal mechanism and tubular site of the phosphaturic action of parathyroid hormone were investigated by clearance and stop-flow techniques in one intact and seven thyroparathyroidectomized dogs.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	4	563	5.7728624	[effects of alkalosis on plasma concentration and urinary excretion of inorganic phosphate in man acute respiratory and metabolic alkalosis have been shown to depress plasma phosphorus con- centration in normal man.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	5	29	5.5705113	[selectivity of protein excretion in patients with the nephrotic syndrome.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	6	864	5.472246	[sudden hypocalcemia in normal and hypoparathyroid subjects.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	7	694	5.3831925	[the role of aldosterone and vasopressin in the postural changes in renal excretion in normal subjects and patients with idiopathic edema the effects of the upright posture (leisurely walking for 2 hours) on half- hourly urine volume, and excretion of sodium and creatinine were studied in 13 normal subjects and 13 patients with idiopathic edema, while they drank 150 or 300 ml.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	8	32	5.2457995	[excretion patterns of urinary metabolites of estradiol-4-c14 in postmenopausal women with benign and malignant disease of the breast .]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	9	861	5.0575414	[j.]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
19	10	182	4.8059535	[glucose 6-phosphate dehydrogenase and 6-phosphogluconate dehydrogenase in lens and blood of different species .]	excretion of phosphate or pyrophosphate	excretion of phosphate or pyrophosphate in the urine or the effect of parathyroid hormone on kidney.
20	1	52	6.2425065	[blood and bone marrow damage caused by drugs .]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	2	592	6.164059	[influence of hormones on tumor growth and plasma prolactin levels in rats bearing a pituitary "mammotropic" tumor the effects of estradiol, cortisol acetate, thyroxine, or thiouracil on tumor growth, organ weights, and plasma prolactin levels were determined in rats bearing a furth pituitary "mammotropic" tumor (mtt.]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	3	860	5.8044252	[inhibition by actinomycin d of bone resorption induced by parathyroid hormone or vitamin a.]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	4	204	5.6302047	[psychological effects of circumcision .]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	5	551	5.3384337	[effects of parathyroid hormone and other proteins in vitro on mitochondrial metabolism it is apparent that in addition to parathyroid hormone, several non-hormonal basic proteins stimulate mitochondrial respiration, ion transport, and atpase, but inhibit the 32pi-atp exchange reaction.]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	6	60	4.9003687	[comparative bone marrow study using two aspiration needles and two biopsy sites .]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	7	857	4.8729835	[effect of heparin and parathyroid extract an acid phosphatase in bone.]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	8	711	4.508962	[functional craniology: an aid in interpreting roentgenograms of the skull analysis of the form of the skull is facilitated by considering it to be composed of a number of functional components.]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	9	269	4.442113	[late effects of regional renal hypothermia .]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
20	10	700	4.429741	[stable strontium in human bone: geographical and age differences in the united kingdom and their correlation with levels of strontium-90 a re-assessment has been made of published data of other workers on sr and 90sr in human bone.]	somatotropin as it effects bone	somatotropin as it effects bone, bone development, regeneration, resorption, bone cells, osteogenesis, physiologic calcification or ossification, cartilage and bone diseases in general.  somatotropin as it relates to hypophysectomy, pituitary function, diseases, dwarfism, neoplasms, hypopituitarism and hyperpituitarism, and growth in general.
21	1	896	10.668652	[concept development and language instruction.]	language development in infancy and	language development in infancy and pre-school age.
21	2	35	8.637287	[the development of social attachments in infancy .]	language development in infancy and	language development in infancy and pre-school age.
21	3	887	8.112575	[speech as a landmark in development.]	language development in infancy and	language development in infancy and pre-school age.
21	4	810	7.047972	[an analysis of the language of fourteen schizophrenic children fourteen schizophrenic (autistic) children were studied by means of detailed behavioural histories and observations.]	language development in infancy and	language development in infancy and pre-school age.
21	5	253	6.896062	[radical operation for ventricular septal defect in infancy .]	language development in infancy and	language development in infancy and pre-school age.
21	6	604	6.32416	[on language disorders in young children: a reorganization of thinking current questions and confusions about the use of the term aphasia with reference to young children seem often to reflect semantic problems accruing from professional habits of thinking in terms of etiologic and pathologic labels.]	language development in infancy and	language development in infancy and pre-school age.
21	7	613	6.2967362	[the acquisition of formal features of language children from different groups do not learn the same uses and functions for language.]	language development in infancy and	language development in infancy and pre-school age.
21	8	821	6.226481	[the speech and language abilities of emotionally disturbed children the speech and language disorders of these severely disturbed children can be divided into two categories which relate to the type of psychiatric disturbance.]	language development in infancy and	language development in infancy and pre-school age.
21	9	815	6.0807614	[language training in the treatment of the autistic child functioning on a retarded level a preliminary study to determine the effect of language and speech therapy on the development of communication and the lessening of un- relatedness in a group of non-verbal, autistic children functioning on a retarded level is reported.]	language development in infancy and	language development in infancy and pre-school age.
21	10	890	5.6237426	[the oral language performance of premature children and controls.]	language development in infancy and	language development in infancy and pre-school age.
22	1	636	8.007069	[infectie door mycoplasma hominis bij een pasgeborene mycoplasma hominis infection in a newborn child.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	2	910	7.986262	[effect of mycoplasma on interferon production and interferon assay in cell cultures.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	3	649	7.068986	[evaluation of tylosin in preventing egg transmission of mycoplasma gallisepticum in chickens the inoculation of mycoplasma gallisepticum infective yolk into the left posterior thoracic air sac of laying chickens resulted in an infection which produced a rate of egg infection satisfactory for experimental purposes.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	4	634	7.004124	[establishment of a turkey flock free of 'n' strain mycoplasma mycoplasma of the 'n' strain are frequently isolated from turkey poults affected with airsacculitis but free of mycoplasma gallisepticum.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	5	635	6.8480115	[septicemia due to mycoplasma hominis type 1 viola m.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	6	646	6.589433	[studies on mycoplasma pneumoniae infection in sweden sera from 107 cases of pneumonia and 132 cases of milder respiratory infection were examined by the cf test against m.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	7	908	6.55282	[isolation of mycoplasma pneumoniae from adults with respiratory infections.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	8	913	6.223313	[electron microscopic studies of mycoplasma (pplo strain 880) in artificial medium and in tissue culture.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	9	902	5.913357	[growth and survival of mycoplasma neurolyticum in liquid media.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
22	10	642	5.555904	[suppression of rous sarcoma virus growth in tissue cultures by mycoplasma orale an agent which produced cell destruction in human diploid and chick-embryo fibroblasts was isolated from wi-26 strain of human diploid fibroblasts and shown to be a mycoplasma.]	mycoplasma infection or presence in	mycoplasma (infection or presence) in embryo, fetus, newborn infant or animal, or in pregnancy, gynecologic diseases, or as related to chromosomes or chromosome abnormalities.
23	1	917	10.979072	[the problems of infantile autism and psychiatric nosology.]	infantile autism	infantile autism.
23	2	804	10.307116	[twins discordant for early infantile autism a pair of heterozygous twins discordant for early infantile autism is reported and the relevant literature reviewed.]	infantile autism	infantile autism.
23	3	849	9.698663	[early infantile autism and receptor processes the syndrome of early infantile autism is examined as a function of deviation in near-distance receptor usage.]	infantile autism	infantile autism.
23	4	798	8.774536	[incidence of symptoms of early infantile autism in subsequently hospitalized psychiatric patients this study was concerned with the relationship between the occurrence dur- ing the first two years of life of symptoms of early infantile autism, as retrospective- ly reported by the mothers of s's and subsequent adjustment.]	infantile autism	infantile autism.
23	5	916	8.188998	[comments on a case of infantile psychosis.]	infantile autism	infantile autism.
23	6	620	6.860279	[cognitive functioning in early infantile autism: an examination of four cases by means of the wechsler intelligence scale for children the results are communicated which were obtained from an examination, by means of the wechsler intelligence scale for children, of four cases of early infantile autism.]	infantile autism	infantile autism.
23	7	817	6.463214	[infantile autism and the schizophrenias in a paper published in 1943, entitled "au- tistic disturbances of affective con- tact," i reported from the children's psychi- atric service of the johns hopkins hospital observations of 11 children (8 boys and 3 girls) who had in common a pattern of be- havior not previously considered in its striking uniqueness.]	infantile autism	infantile autism.
23	8	812	5.0926743	[the autistic child in the school and the school-nurse teacher responsibility autistic children demonstrate a more persistent pattern of retreating from reality than is apparent in those children categorized as normal.]	infantile autism	infantile autism.
23	9	920	4.848302	[psychotic reactions of childhood: experiences of a mental retardation pilot project.]	infantile autism	infantile autism.
23	10	797	4.779087	[toilet training of an autistic eight-year-old through conditioning therapy: a case report operant conditioning techniques have been successfully used in the treatment of a wide variety of be- havioral problems including hysterical blindness (brady and lind, 1961), tics (barrett, 1962), psychotic symptoms (lindsley, 1956; 1960, 1961), reading disabilities (rachman, 1962) stuttering (flanagan et.]	infantile autism	infantile autism.
24	1	850	15.974688	[studies on compensatory renal hypertrophy.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	2	939	13.952627	[thyroid and pituitary gland activity during compensatory renal hypertrophy.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	3	940	13.910591	[the influence of thyroid hormone on renal function during the course of compensatory hypertrophy.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	4	938	12.118495	[the effect of nortestosterone phenylpropionate on compensatory hypertrophy of the remaining kidney after unilateral nephrectomy.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	5	932	11.8878	[effects of hypophysectomy and growth hormone on renal compensatory hypertrophy in rats.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	6	674	11.348902	[experimentelle nierenvergroberung nach unilateraler nephrektomie bei ratten untersuchungen mit 3h-thymidin in this paper it is attempted to clarify certain questions as to the mechanism of compensatory renal hypertrophy by means of histological, cytological, and autoradiographical examinations in nephrectomy experiments on young and grown rats.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	7	936	10.622036	[compensatory structural and functional changes in the kidney.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	8	675	10.121641	[abscopal effects of whole-body x-irradiation on compensatory hypertrophy of the rat kidney.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	9	667	8.327356	[compensatory renal enlargement hypertrophy versus hyperplasia after unilateral nephrectomy in the mouse, the compensatory growth of the remaining kidney is characterized by an increase in rna and protein synthesis within the first hour.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
24	10	678	7.8041344	[the role of age and x-irradiation on kidney function in the mouse female mouse kidneys show a decline with respect to age in the ability to concentrate the urine during a 24-hour water fast.]	compensatory renal hypertrophy stimulus resulting	compensatory renal hypertrophy - - stimulus resulting in mass increase (hypertrophy) and cell proliferation (hyperplasia) in the remaining kidney following unilateral nephrectomy in mammals.
25	1	699	8.321677	[antidiuretic properties of chlorothiazide in diabetes insipidus dogs chlorothiazide was found to decrease urine volume and increase urine con- centration in diabetes insipidus dogs.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	2	691	6.012036	[nephrogenic diabetes insipidus chlorothiazide has been found of value in establishing and maintaining adequate hydra- tion in some patients; its exact mechanism of action is not known.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	3	687	5.3971972	[the antidiuretic mechanism of hydrochlorothia- zide in the treatment of diabetes insipidus the changes in water and electro- lyte balance during hydrochlorothiazide therapy in 2 patients with vasopressin- deficient diabetes insipidus were studi- ed.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	4	66	4.3149858	[urinary steroid estimations in the prediction of response to adrenalectomy or hypophysectomy .]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	5	604	4.1062403	[on language disorders in young children: a reorganization of thinking current questions and confusions about the use of the term aphasia with reference to young children seem often to reflect semantic problems accruing from professional habits of thinking in terms of etiologic and pathologic labels.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	6	695	4.075388	[the use and mode of action of ethacrynic acid in nephrogenic diabetes insipidus the use of diuretic agents in the treatment of nephrogenic diabetes insipidus had been re- ported to result in decreased urine volume and decreased clearance of free water.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	7	550	4.0486026	[control of idiopathic hypercalciuria the paper discusses the causes of hypercalciuria and describes 15 cases of different origins all of which presented similarly with renal stones.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	8	624	3.7752302	[interpretation within the metaphor analytic investigation of the use of the metaphor was first given impetus by ella freeman sharpe (1950), who explored the symbolic meaning of particular metaphoric phrases with reference to the body and libidinal needs.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	9	788	3.2553744	[esophageal obstruction the use of an endoscopically inserted tube in the care of esophageal carcinoma our experience suggests that the en- doscopic insertion of intraluminal tubes provides a relatively simple and reason- ably safe method of dealing with some of the problems which arise in the man- agement of patients with esophageal car- cinoma.]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
25	10	90	3.1571405	[use of a cross-circulation technique in studying respiratory responses to co .]	use of chlorothiazide diuril or	use of chlorothiazide (diuril) or hydrochlorothiazide (hydrodiuril) in the treatment of nephogenic diabetes insipidus in children; also, use of low sodium diets and aldactone (spironolactone) in the treatment of childhood nephogenic diabetes insipidus.
26	1	981	6.782782	[a review of immunologic methods for the diagnosis of filariasis.]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	2	910	5.4168296	[effect of mycoplasma on interferon production and interferon assay in cell cultures.]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	3	974	5.239299	[comparative values of thick drop and concentration methods detection of filaria infection.]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	4	1018	5.1789494	[metabolism and excretion of bilirubin c in experimental obstructive jaundice.]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	5	909	5.084256	[color test for the measurement of antibody to t-strain mycoplasmas.]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	6	215	4.810069	[attenuation curves of the human eye under normal and pathological conditions .]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	7	231	4.714546	[experimental emphysema basis, review, and critique .]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	8	69	4.557623	[acute experimental pneumococcal (type i) pneumonia in the mouse.]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	9	657	4.5539947	[chronic respiratory disease in mice and rats chronic respiratory disease (crd) in both mice and rats embraces two separate entities, namely: infectious catarrh caused by mycoplasmas (pleuropneumonia-like organisms) and enzootic bronchiectasis by a virus.]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
26	10	630	4.501323	[spontaneous verbal rehearsal in a memory task as a function of age a distinction is made between 2 alternative hypotheses for explaining an often-reported deficiency in verbally mediated performance during early childhood: (1) the verbal response is made, but tends not to mediate performance ("mediational-deficiency hypothesis"); (2) the verbal response tends not to be made ("production-deficiency hypothesis").]	methods for experimental production of	methods for experimental production of and known causes of hydrocephalus in animals and humans.
27	1	1024	6.4413404	[some bone lesions in the course of blood diseases with special reference to the formation of bony callus and to the treatment of fractures in patients suffering from blood diseases.]	interested in the parasitic diseases	interested in the parasitic diseases.  filaria parasites found in primates, the insect vectors of filaria, the related diptera, i. e., culicoides, mosquitos, etc., that may serve as vectors of this infection-disease; also the life cycles and transmission of the filaria.  parasites and ecology of the taiwan monkey, macaca cyclopis, with emphasis on the filarial parasite, macacanema formosana.
27	2	983	6.211356	[an evaluation of the bentonite flocculation and indirect hemagglutination tests for the diagnosis of filariasis.]	interested in the parasitic diseases	interested in the parasitic diseases.  filaria parasites found in primates, the insect vectors of filaria, the related diptera, i. e., culicoides, mosquitos, etc., that may serve as vectors of this infection-disease; also the life cycles and transmission of the filaria.  parasites and ecology of the taiwan monkey, macaca cyclopis, with emphasis on the filarial parasite, macacanema formosana.
27	3	17	5.824301	[treatment of collagen diseases with cytostatics .]	interested in the parasitic diseases	interested in the parasitic diseases.  filaria parasites found in primates, the insect vectors of filaria, the related diptera, i. e., culicoides, mosquitos, etc., that may serve as vectors of this infection-disease; also the life cycles and transmission of the filaria.  parasites and ecology of the taiwan monkey, macaca cyclopis, with emphasis on the filarial parasite, macacanema formosana.
